rank,en,frequency
1326,education,61160
1327,sharp,61096
1328,prince,60998
1329,permitted,60987
1330,group,60983
1331,enemies,60982
1332,robert,60967
1333,played,60926
1334,throughout,60896
1335,pity,60858
1336,expense,60836
1337,yours,60770
1338,million,60752
1339,add,60647
1340,pray,60553
1341,taught,60553
1342,explained,60525
1343,tired,60525
1344,leading,60475
1345,kill,60435
1346,shadow,60402
1347,companion,60384
1348,weight,60339
1349,mass,60298
1350,established,60226
1351,suffered,60210
1352,gray,60200
1353,brave,60085
1354,thin,60068
1355,satisfied,60044
1356,check,60002
1357,virtue,59979
1358,golden,59969
1359,numerous,59925
1360,frequently,59873
1361,famous,59843
1362,telling,59831
1363,powerful,59634
1364,alive,59632
1365,waters,59569
1366,national,59565
1367,weak,59510
1368,divine,59479
1369,material,59413
1370,principal,59406
1371,gathered,59324
1372,suggested,59261
1373,frank,59180
1374,valley,59172
1375,guess,59171
1376,finding,59160
1377,yellow,59051
1378,heat,58979
1379,remains,58941
1380,bent,58939
1381,seized,58899
1382,guard,58892
1383,equally,58840
1384,naturally,58811
1385,box,58805
1386,remarkable,58805
1387,gods,58789
1388,moon,58760
1389,slight,58710
1390,style,58699
1391,pointed,58669
1392,saved,58632
1393,windows,58556
1394,crossed,58551
1395,louis,58498
1396,pounds,58458
1397,ain't,58451
1398,evidently,58378
1399,principle,58369
1400,immediate,58268
1401,willing,58218
1402,consequence,58195
1403,richard,58188
1404,principles,58148
1405,characters,58140
1406,paul,58106
1407,season,58088
1408,remarked,58020
1409,science,57960
1410,tender,57959
1411,worked,57946
1412,grown,57772
1413,whispered,57721
1414,interested,57714
1415,quarter,57661
1416,midst,57518
1417,liked,57509
1418,advanced,57495
1419,apparently,57471
1420,bore,57458
1421,pwh,57456
1422,active,57449
1423,noticed,57389
1424,aware,57388
1425,thomas,57341
1426,uncle,57326
1427,list,57295
1428,dangerous,57292
1429,august,57283
1430,calm,57251
1431,genius,57225
1432,sacred,57211
1433,kingdom,57199
1434,entire,57187
1435,popular,57115
1436,unknown,57040
1437,nice,57038
1438,habit,57035
1439,spanish,56981
1440,familiar,56835
1441,reader,56832
1442,published,56807
1443,direct,56755
1444,handsome,56748
1445,you'll,56740
1446,joined,56737
1447,actually,56699
1448,kings,56630
1449,sd,56603
1450,posted,56561
1451,approach,56555
1452,Washington,56527
1453,hearing,56509
1454,needed,56455
1455,increased,56113
1456,walking,56094
1457,twice,55893
1458,throw,55850
1459,intellectual,55849
1460,appointed,55847
1461,wisdom,55827
1462,ceased,55810
1463,truly,55776
1464,numbers,55771
1465,demanded,55718
1466,priest,55667
1467,wounded,55666
1468,sorrow,55657
1469,drive,55626
1470,fault,55610
1471,listened,55604
1472,palace,55599
1473,affair,55588
1474,contact,55576
1475,distinguished,55568
1476,station,55551
1477,beat,55452
1478,distributed,55431
1479,e,55405
1480,listen,55400
1481,Italy,55327
1482,fool,55324
1483,becomes,55307
1484,watching,55264
1485,hurt,55227
1486,wants,55209
1487,express,55193
1488,occurred,55186
1489,favour,55161
1490,height,55161
1491,size,55123
1492,edge,55074
1493,subjects,55021
1494,task,54999
1495,follows,54945
1496,interests,54938
1497,nine,54922
1498,sympathy,54921
1499,burst,54920
1500,putting,54835
1501,dressed,54816
1502,lifted,54796
1503,hopes,54772
1504,suffer,54764
1505,noise,54731
1506,smiling,54720
1507,rode,54627
1508,tells,54559
1509,minds,54524
1510,farther,54471
1511,literature,54426
1512,vessel,54407
1513,affection,54381
1514,suffering,54363
1515,proceeded,54343
1516,flesh,54333
1517,advice,54172
1518,grand,54172
1519,carrying,54168
1520,legs,54149
1521,Spain,54147
1522,post,54054
1523,collection,54031
1524,empty,54020
1525,rank,54009
1526,storm,54009
1527,god's,53975
1528,imagine,53930
1529,wore,53915
1530,duties,53904
1531,admitted,53846
1532,countries,53834
1533,pocket,53783
1534,arrival,53776
1535,imagination,53768
1536,driven,53753
1537,loud,53742
1538,sentence,53699
1539,lovely,53673
1540,extraordinary,53589
1541,November,53551
1542,December,53541
1543,happen,53527
1544,absence,53502
1545,breakfast,53488
1546,population,53423
1547,thank,53413
1548,rules,53386
1549,inhabitants,53168
1550,series,53157
1551,laughing,53113
1552,address,53096
1553,relief,53061
1554,bird,52958
1555,owner,52920
1556,impression,52901
1557,satisfaction,52896
1558,coat,52869
1559,prepare,52846
1560,relations,52841
1561,shape,52710
1562,birth,52703
1563,rapidly,52677
1564,smoke,52676
1565,January,52657
1566,mother+'s,52657
1567,machine,52618
1568,content,52615
1569,consideration,52606
1570,accompanied,52581
1571,regular,52519
1572,moving,52512
1573,stands,52512
1574,wholly,52482
1575,teeth,52449
1576,busy,52407
1577,treated,52378
1578,burning,52322
1579,shame,52312
1580,quality,52292
1581,bay,52212
1582,discover,52201
1583,inside,52123
1584,brain,52105
1585,soil,52100
1586,completely,52050
1587,message,52049
1588,ring,52000
1589,resolved,51981
1590,calling,51950
1591,phrase,51940
1592,acts,51907
1593,mention,51888
1594,square,51832
1595,pair,51818
1596,won,51798
1597,title,51777
1598,understanding,51713
1599,Sunday,51687
1600,fruit,51674
1601,mad,51668
1602,forces,51593
1603,included,51591
1604,tea,51547
1605,rocks,51540
1606,nearer,51456
1607,slaves,51427
1608,falling,51396
1609,absolutely,51394
1610,slow,51380
1611,bearing,51315
1612,mercy,51306
1613,larger,51297
1614,explain,51285
1615,contain,51210
1616,grief,51205
1617,soldier,51200
1618,wasn't,51135
1619,countenance,51077
1620,previous,51055
1621,explanation,51050
1622,welcome,51009
1623,proposed,51006
1624,prayer,50987
1625,stars,50977
1626,Germany,50905
1627,belief,50725
1628,informed,50691
1629,moments,50676
1630,poetry,50673
1631,constant,50650
1632,buy,50619
1633,final,50604
1634,faithful,50587
1635,ride,50551
1636,policy,50464
1637,supper,50460
1638,drawing,50447
1639,excitement,50435
1640,dying,50335
1641,demand,50257
1642,fighting,50245
1643,fields,50201
1644,drove,50184
1645,upper,50168
1646,sum,50041
1647,Philip,49999
1648,motion,49955
1649,assistance,49929
1650,forty,49903
1651,April,49899
1652,stones,49887
1653,Edward,49840
1654,fees,49820
1655,kindly,49809
1656,dignity,49803
1657,catch,49718
1658,October,49715
1659,seated,49654
1660,knees,49642
1661,amongst,49628
1662,current,49580
1663,sending,49578
1664,parties,49574
1665,objects,49571
1666,gained,49550
1667,bitter,49544
1668,possibly,49520
1669,slave,49489
1670,separate,49480
1671,loose,49427
1672,text,49423
1673,receiving,49391
1674,worst,49369
1675,sold,49339
1676,don,49305
1677,credit,49262
1678,chosen,49225
1679,hoped,49174
1680,printed,49171
1681,terror,49161
1682,features,49124
1683,fond,49101
1684,control,49074
1685,capable,49070
1686,fifteen,49002
1687,doesn't,48968
1688,firm,48962
1689,superior,48948
1690,cruel,48839
1691,spiritual,48809
1692,Harry,48809
1693,splendid,48752
1694,proof,48702
1695,pressed,48635
1696,sooner,48619
1697,join,48614
1698,process,48561
1699,crime,48528
1700,dust,48502
1701,instantly,48494
1702,lands,48475
1703,relation,48472
1704,doors,48413
1705,concerned,48411
1706,deeply,48404
1707,practical,48402
1708,colour,48371
1709,sing,48331
1710,destroy,48261
1711,anger,48238
1712,distributing,48223
1713,results,48202
1714,increase,48197
1715,reasons,48062
1716,nose,48059
1717,friendly,48021
1718,entrance,47983
1719,rooms,47962
1720,admit,47956
1721,supply,47924
1722,clean,47921
1723,useful,47849
1724,yesterday,47824
1725,delicate,47818
1726,fail,47778
1727,continue,47737
1728,remove,47699
1729,addressed,47673
1730,choice,47671
1731,huge,47619
1732,needs,47619
1733,wear,47608
1734,blind,47599
1735,unable,47589
1736,cover,47574
1737,double,47550
1738,victory,47530
1739,dozen,47519
1740,constantly,47490
1741,level,47487
1742,India,47392
1743,release,47389
1744,rough,47332
1745,ended,47325
1746,shows,47324
1747,fly,47316
1748,praise,47267
1749,devil,47254
1750,ahead,47194
1751,smith,47190
1752,connected,47128
1753,degrees,47110
1754,gain,47094
1755,addition,47084
1756,committed,47063
1757,chamber,47055
1758,notes,47051
1759,Italian,47021
1760,gradually,46902
1761,acquaintance,46877
1762,bought,46854
1763,souls,46847
1764,mission,46837
1765,sacrifice,46810
1766,cities,46797
1767,mistake,46768
1768,exercise,46752
1769,conscience,46747
1770,based,46717
1771,car,46691
1772,buried,46646
1773,theory,46621
1774,commanded,46561
1775,nobody,46560
1776,minister,46464
1777,closely,46446
1778,energy,46407
1779,dick,46399
1780,bare,46386
1781,fought,46382
1782,partly,46369
1783,mistress,46298
1784,hate,46287
1785,arose,46271
1786,playing,46253
1787,color,46252
1788,lake,46240
1789,safety,46193
1790,provisions,46145
1791,description,46112
1792,asleep,46108
1793,centre,46093
1794,faint,46085
1795,thinks,46053
1796,parents,46044
1797,escaped,46024
1798,careful,45995
1799,enjoy,45987
1800,drop,45918
1801,brilliant,45799
1802,brief,45788
1803,bringing,45758
1804,worship,45744
1805,goods,45735
1806,tale,45733
1807,skin,45696
1808,roof,45695
1809,grey,45689
1810,highly,45680
1811,crown,45638
1812,castle,45581
1813,excited,45567
1814,throne,45558
1815,stated,45524
1816,despair,45463
1817,ease,45457
1818,attached,45447
1819,total,45438
1820,kindness,45424
1821,mile,45375
1822,citizens,45309
1823,circle,45281
1824,dull,45281
1825,extreme,45269
1826,clouds,45264
1827,figures,45251
1828,intention,45248
1829,prison,45241
1830,term,45215
1831,assured,45181
1832,hidden,45123
1833,thoroughly,45123
1834,cup,45107
1835,member,45100
1836,civil,44958
1837,apply,44943
1838,labor,44925
1839,everywhere,44877
1840,intelligence,44856
1841,strike,44825
1842,fairly,44822
1843,comply,44817
1844,fellows,44813
1845,haven't,44742
1846,event,44675
1847,gently,44659
1848,connection,44629
1849,protection,44625
1850,conscious,44568
1851,edition,44551
1852,directed,44487
1853,pulled,44473
1854,flight,44454
1855,evident,44453
1856,surrounded,44441
1857,wishes,44411
1858,yards,44411
1859,voices,44401
1860,weary,44397
1861,couple,44368
1862,variety,44354
1863,whilst,44316
1864,volume,44293
1865,details,44279
1866,older,44260
1867,requirements,44256
1868,custom,44253
1869,apart,44248
1870,bow,44208
1871,awful,44175
1872,everybody,44135
1873,labour,44127
1874,asking,44097
1875,lover,44066
1876,showing,44052
1877,introduced,44021
1878,suit,43998
1879,becoming,43985
1880,composed,43982
1881,plans,43978
1882,rendered,43966
1883,pictures,43960
1884,lest,43949
1885,volunteers,43949
1886,singing,43942
1887,eager,43919
1888,precious,43892
1889,paused,43885
1890,require,43847
1891,meat,43838
1892,whenever,43837
1893,milk,43784
1894,dogs,43682
1895,successful,43611
1896,plants,43609
1897,vision,43605
1898,rare,43603
1899,granted,43561
1900,raise,43533
1901,Egypt,43529
1902,manners,43503
1903,cousin,43494
1904,you've,43454
1905,development,43431
1906,Arthur,43405
1907,obs,43402
1908,cool,43305
1909,trial,43233
1910,learning,43177
1911,approached,43176
1912,bridge,43143
1913,abroad,43081
1914,devoted,43071
1915,paying,43055
1916,literary,43044
1917,writer,42938
1918,fn,42935
1919,Israel,42903
1920,disappeared,42899
1921,interrupted,42888
1922,stock,42862
1923,readers,42829
1924,dreadful,42801
1925,female,42767
1926,protect,42699
1927,accustomed,42696
1928,Virginia,42695
1929,type,42657
1930,recognized,42656
1931,salt,42649
1932,destroyed,42641
1933,signs,42635
1934,innocent,42613
1935,temper,42601
1936,plenty,42597
1937,pope,42596
1938,avoid,42559
1939,hurried,42480
1940,represented,42461
1941,favor,42434
1942,mental,42347
1943,attitude,42329
1944,returning,42271
1945,admiration,42255
1946,brothers,42245
1947,anxiety,42233
1948,queen,42223
1949,teach,42216
1950,count,42207
1951,curiosity,42203
1952,solemn,42188
1953,causes,42152
1954,vessels,42102
1955,compelled,42082
1956,dance,42075
1957,hotel,42072
1958,wicked,42017
1959,fled,41992
1960,kissed,41987
1961,guns,41921
1962,fill,41911
1963,visible,41884
1964,younger,41825
1965,guide,41750
1966,earnest,41745
1967,actual,41729
1968,companions,41728
1969,prisoner,41725
1970,miserable,41704
1971,lad,41692
1972,harm,41617
1973,views,41499
1974,Irish,41490
1975,utterly,41479
1976,ends,41431
1977,shop,41349
1978,stairs,41339
1979,pardon,41335
1980,gay,41319
1981,beg,41312
1982,seldom,41303
1983,kinds,41287
1984,record,41281
1985,fat,41278
1986,sand,41232
1987,violent,41203
1988,branches,41195
1989,inquired,41185
1990,IV,41152
1991,September,41145
1992,worn,41117
1993,Ireland,41105
1994,flat,41104
1995,departure,41101
1996,delivered,41099
1997,gift,41080
1998,ruin,41073
1999,skill,41029
2000,cattle,40983
2001,equipment,40935
2002,temple,40926
2003,calls,40860
2004,earlier,40843
2005,license,40827
2006,visited,40818
2007,en,40812
2008,consent,40810
2009,sufficiently,40787
2010,natives,40772
2011,wound,40752
2012,laughter,40713
2013,contained,40691
2014,perceived,40691
2015,scattered,40669
2016,whence,40661
2017,rushed,40657
2018,chiefly,40639
2019,bold,40614
2020,anywhere,40597
2021,witness,40545
2022,foolish,40523
2023,helped,40487
2024,kitchen,40483
2025,sell,40483
2026,anybody,40479
2027,self,40477
2028,extremely,40476
2029,treatment,40449
2030,throat,40414
2031,dreams,40383
2032,patient,40380
2033,speed,40372
2034,growth,40351
2035,quantity,40347
2036,Latin,40314
2037,immense,40278
2038,conclusion,40262
2039,computer,40222
2040,affected,40214
2041,severe,40200
2042,excuse,40180
2043,triumph,40169
2044,origin,40165
2045,Joseph,40161
2046,slept,40160
2047,eternal,40157
2048,thine,40157
2049,audience,40127
2050,pages,40117
2051,sounds,40089
2052,swift,40080
2053,limited,40060
2054,wings,40014
2055,stepped,39957
2056,services,39933
2057,library,39915
2058,remaining,39911
2059,containing,39908
2060,base,39900
2061,confusion,39871
2062,win,39858
2063,maid,39847
2064,charming,39846
2065,editions,39843
2066,attended,39842
2067,softly,39831
2068,reality,39813
2069,performed,39808
2070,glorious,39774
2071,likewise,39757
2072,site,39722
2073,sail,39713
2074,frightened,39697
2075,acquainted,39660
2076,unhappy,39660
2077,feared,39591
2078,article,39586
2079,prisoners,39576
2080,store,39566
2081,adopted,39561
2082,shalt,39534
2083,remark,39519
2084,cook,39479
2085,thousands,39463
2086,pause,39426
2087,inclined,39411
2088,convinced,39401
2089,band,39397
2090,valuable,39324
2091,hence,39316
2092,desert,39278
2093,effects,39257
2094,kiss,39251
2095,plant,39201
2096,ice,39198
2097,ball,39180
2098,stick,39108
2099,absolute,39093
2100,readily,39085
2101,behold,39051
2102,fierce,39048
2103,argument,38991
2104,observe,38990
2105,blessed,38967
2106,bosom,38956
2107,rage,38949
2108,striking,38941
2109,discovery,38883
2110,creatures,38875
2111,shouted,38859
2112,guilty,38836
2113,related,38810
2114,setting,38686
2115,forgot,38668
2116,punishment,38650
2117,gun,38632
2118,slightly,38629
2119,articles,38575
2120,police,38557
2121,mysterious,38550
2122,extended,38536
2123,confess,38535
2124,shade,38527
2125,murder,38525
2126,emotion,38510
2127,destruction,38505
2128,wondered,38474
2129,increasing,38463
2130,hide,38423
2131,expedition,38402
2132,horror,38361
2133,local,38355
2134,expenses,38353
2135,ignorant,38321
2136,doctrine,38303
2137,generous,38301
2138,range,38284
2139,host,38240
2140,wet,38201
2141,cloud,38187
2142,mystery,38185
2143,Ed,38165
2144,waste,38164
2145,changes,38156
2146,possess,38151
2147,consciousness,38142
2148,February,38131
2149,trembling,38110
2150,disease,38039
2151,formerly,38037
2152,spend,38033
2153,production,38021
2154,source,38004
2155,mankind,37996
2156,universal,37991
2157,deck,37965
2158,sees,37923
2159,habits,37913
2160,estate,37878
2161,aunt,37832
2162,reign,37816
2163,humble,37795
2164,compliance,37787
2165,delay,37771
2166,shining,37764
2167,reported,37740
2168,hers,37736
2169,unfortunate,37731
2170,midnight,37703
2171,listening,37700
2172,flower,37688
2173,hero,37673
2174,accomplished,37666
2175,doth,37665
2176,classes,37658
2177,thanks,37642
2178,banks,37623
2179,philosophy,37611
2180,belong,37593
2181,finger,37580
2182,comfortable,37542
2183,market,37529
2184,cap,37514
2185,waves,37462
2186,woman's,37437
2187,glanced,37392
2188,troubled,37376
2189,difficulties,37338
2190,picked,37330
2191,European,37324
2192,purposes,37314
2193,somewhere,37273
2194,delighted,37264
2195,pushed,37259
2196,press,37241
2197,household,37219
2198,fleet,37214
2199,baby,37208
2200,region,37161
2201,lately,37158
2202,uttered,37142
2203,exact,37133
2204,image,37131
2205,ages,37127
2206,murmured,37113
2207,melancholy,37112
2208,suspicion,37107
2209,bowed,37089
2210,refuse,37051
2211,Elizabeth,37040
2212,staff,37036
2213,liability,37032
2214,we'll,37019
2215,enjoyed,36985
2216,stretched,36973
2217,gaze,36916
2218,belonged,36888
2219,ashamed,36880
2220,reward,36873
2221,meal,36778
2222,blame,36775
2223,nodded,36767
2224,status,36747
2225,opinions,36725
2226,indicate,36699
2227,poem,36654
2228,savage,36642
2229,arise,36635
2230,voyage,36628
2231,misery,36563
2232,guests,36562
2233,painted,36515
2234,attend,36513
2235,afford,36482
2236,donate,36471
2237,job,36450
2238,proceed,36439
2239,loves,36414
2240,forehead,36382
2241,regret,36381
2242,plainly,36355
2243,risk,36336
2244,ad,36312
2245,lighted,36312
2246,angel,36288
2247,rapid,36285
2248,distinct,36267
2249,doubtless,36256
2250,properly,36256
2251,wit,36238
2252,fame,36237
2253,singular,36221
2254,error,36182
2255,utmost,36158
2256,methods,36155
2257,reputation,36155
2258,appeal,36123
2259,she's,36120
2260,w,36088
2261,strongly,36080
2262,Margaret,36006
2263,lack,35996
2264,breaking,35977
2265,dawn,35959
2266,violence,35957
2267,fatal,35917
2268,render,35896
2269,career,35881
2270,design,35854
2271,displayed,35848
2272,gets,35843
2273,commercial,35830
2274,forgive,35809
2275,lights,35807
2276,agreeable,35805
2277,suggestion,35777
2278,utter,35777
2279,sheep,35725
2280,resolution,35703
2281,spare,35671
2282,patience,35631
2283,domestic,35618
2284,concluded,35542
2285,'tis,35536
2286,farm,35520
2287,reference,35509
2288,Chinese,35506
2289,exist,35494
2290,corn,35491
2291,approaching,35449
2292,alike,35448
2293,mounted,35384
2294,Jane,35352
2295,issue,35310
2296,key,35281
2297,providing,35281
2298,majority,35276
2299,measures,35270
2300,towns,35240
2301,flame,35233
2302,Boston,35180
2303,dared,35177
2304,ignorance,35152
2305,reduced,35122
2306,occasionally,35100
2307,y,35094
2308,weakness,35090
2309,furnished,35089
2310,china,35058
2311,priests,35025
2312,flying,34986
2313,cloth,34966
2314,gazed,34953
2315,profit,34932
2316,fourth,34923
2317,bell,34920
2318,hitherto,34911
2319,benefit,34854
2320,movements,34847
2321,eagerly,34842
2322,acted,34841
2323,urged,34841
2324,ascii,34791
2325,disposed,34790
2326,electronically,34761
2327,atmosphere,34748
2328,chapter,34699
2329,begged,34626
2330,Helen,34619
2331,hole,34616
2332,invited,34593
2333,borne,34548
2334,departed,34546
2335,catholic,34522
2336,files,34514
2337,reasonable,34512
2338,sugar,34501
2339,replacement,34483
2340,sigh,34454
2341,humanity,34419
2342,thrust,34395
2343,frame,34362
2344,opposition,34350
2345,disk,34347
2346,haste,34328
2347,lonely,34328
2348,artist,34290
2349,knight,34282
2350,quarters,34277
2351,charm,34223
2352,substance,34163
2353,rolled,34154
2354,email,34145
2355,flung,34144
2356,celebrated,34143
2357,division,34136
2358,slavery,34114
2359,verse,34107
2360,decision,34067
2361,probable,34063
2362,painful,34042
2363,governor,34023
2364,forever,33999
2365,turns,33988
2366,branch,33961
2367,ocean,33958
2368,rear,33947
2369,leader,33937
2370,delightful,33915
2371,stared,33876
2372,boats,33808
2373,keen,33788
2374,disposition,33779
2375,senses,33722
2376,occasions,33700
2377,readable,33692
2378,beloved,33687
2379,inches,33684
2380,bones,33679
2381,enthusiasm,33648
2382,materials,33589
2383,luck,33588
2384,derived,33575
2385,managed,33479
2386,community,33464
2387,apparent,33464
2388,preserved,33454
2389,magnificent,33434
2390,hurry,33396
2391,scheme,33393
2392,oil,33392
2393,thence,33382
2394,reaching,33374
2395,dim,33362
2396,wretched,33290
2397,hanging,33275
2398,pipe,33218
2399,useless,33215
2400,nevertheless,33203
2401,print,33203
2402,smooth,33167
2403,solid,33148
2404,pursued,33135
2405,necessarily,33108
2406,build,33084
2407,attempted,33080
2408,centuries,33059
2409,eggs,33059
2410,equivalent,33033
2411,hastily,33032
2412,burned,33008
2413,you'd,33008
2414,recent,33000
2415,oh,32957
2416,travel,32951
2417,cries,32925
2418,noon,32919
2419,crying,32901
2420,generations,32858
2421,located,32835
2422,cabin,32809
2423,announcement,32782
2424,Britain,32752
2425,compared,32731
2426,handed,32720
2427,cease,32714
2428,smaller,32668
2429,circumstance,32666
2430,tent,32665
2431,frequent,32616
2432,alarm,32602
2433,nervous,32602
2434,beast,32586
2435,what's,32580
2436,aloud,32565
2437,independent,32519
2438,gates,32509
2439,distinction,32502
2440,essential,32487
2441,observation,32472
2442,stronger,32455
2443,recovered,32450
2444,belonging,32404
2445,loving,32402
2446,masters,32388
2447,writers,32341
2448,cf,32326
2449,permanent,32324
2450,mortal,32284
2451,stern,32284
2452,gratitude,32278
2453,preserve,32248
2454,burden,32242
2455,aspect,32240
2456,millions,32199
2457,merry,32182
2458,knife,32177
2459,dread,32133
2460,clever,32114
2461,applicable,32052
2462,district,32050
2463,shadows,32038
2464,Jim,32031
2465,silk,32029
2466,failure,32022
2467,links,32009
2468,cent,31995
2469,sentiment,31990
2470,amid,31980
2471,profits,31968
2472,agent,31949
2473,finds,31934
2474,Russia,31928
2475,bade,31920
2476,Russian,31857
2477,desperate,31847
2478,union,31834
2479,imagined,31804
2480,contempt,31802
2481,raising,31786
2482,lords,31775
2483,hell,31770
2484,separated,31752
2485,grant,31743
2486,seriously,31736
2487,tribes,31726
2488,hit,31725
2489,enormous,31700
2490,defective,31696
2491,conviction,31688
2492,secured,31688
2493,mixed,31679
2494,insisted,31661
2495,wooden,31632
2496,prefer,31621
2497,prayers,31606
2498,fever,31586
2499,selected,31568
2500,daughters,31553
2501,treat,31550
2502,warning,31522
2503,flew,31518
2504,speaks,31489
2505,developed,31472
2506,impulse,31472
2507,slipped,31472
2508,ours,31465
2509,Johnson,31408
2510,mistaken,31390
2511,damages,31382
2512,ambition,31356
2513,resumed,31351
2514,christmas,31347
2515,yield,31347
2516,ideal,31343
2517,schools,31335
2518,confirmed,31324
2519,descended,31322
2520,rush,31290
2521,falls,31268
2522,deny,31254
2523,calculated,31233
2524,correct,31211
2525,perform,31210
2526,hadn't,31207
2527,somehow,31184
2528,accordingly,31181
2529,stayed,31165
2530,acquired,31144
2531,counsel,31135
2532,distress,31131
2533,sins,31105
2534,notion,31102
2535,discussion,31093
2536,constitution,31085
2537,Anne,31055
2538,hundreds,31006
2539,instrument,31001
2540,firmly,30976
2541,actions,30971
2542,steady,30965
2543,remarks,30933
2544,empire,30925
2545,elements,30909
2546,idle,30891
2547,pen,30885
2548,entering,30872
2549,online,30872
2550,Africa,30843
2551,permit,30835
2552,th',30812
2553,tide,30803
2554,vol,30800
2555,leaned,30798
2556,college,30750
2557,maintain,30737
2558,sovereign,30706
2559,tail,30699
2560,generation,30695
2561,crowded,30692
2562,fears,30679
2563,nights,30650
2564,limitation,30643
2565,tied,30625
2566,horrible,30622
2567,cat,30600
2568,displaying,30545
